,precision,recall,f1-score,support
AI Researcher,0.65,0.65,0.65,20.0
Biomedical Engineer,0.47058823529411764,0.4,0.43243243243243246,20.0
Blockchain Developer,0.45,0.45,0.45,20.0
Business Analyst,0.2727272727272727,0.15,0.1935483870967742,20.0
Civil Engineer,0.55,0.55,0.55,20.0
Cloud Architect,0.2916666666666667,0.35,0.3181818181818182,20.0
Content Strategist,0.9,0.9,0.9,20.0
Cybersecurity Analyst,0.21428571428571427,0.15,0.17647058823529413,20.0
Data Analyst,0.6666666666666666,0.5,0.5714285714285714,20.0
Data Scientist,0.375,0.15,0.21428571428571427,20.0
Database Administrator,0.29411764705882354,0.25,0.2702702702702703,20.0
DevOps Engineer,0.16,0.2,0.17777777777777778,20.0
Digital Marketer,0.75,0.75,0.75,20.0
Embedded Systems Engineer,0.3333333333333333,0.35,0.34146341463414637,20.0
Financial Analyst,0.5,0.45,0.47368421052631576,20.0
Full Stack Developer,0.47368421052631576,0.45,0.46153846153846156,20.0
Game Developer,0.7083333333333334,0.85,0.7727272727272727,20.0
Graphic Designer,0.7727272727272727,0.85,0.8095238095238095,20.0
HR Manager,0.782608695652174,0.9,0.8372093023255814,20.0
IT Consultant,0.7083333333333334,0.85,0.7727272727272727,20.0
Machine Learning Engineer,0.45161290322580644,0.7,0.5490196078431373,20.0
Mechanical Engineer,0.5238095238095238,0.55,0.5365853658536586,20.0
Mobile App Developer,0.38095238095238093,0.4,0.3902439024390244,20.0
Network Engineer,0.35,0.35,0.35,20.0
Operations Manager,0.05555555555555555,0.05,0.05263157894736842,20.0
Product Manager,0.52,0.65,0.5777777777777777,20.0
Software Engineer,0.391304347826087,0.45,0.4186046511627907,20.0
Supply Chain Analyst,0.36,0.45,0.4,20.0
UX Designer,0.8421052631578947,0.8,0.8205128205128205,20.0
Web Developer,0.6666666666666666,0.5,0.5714285714285714,20.0
accuracy,0.5016666666666667,0.5016666666666667,0.5016666666666667,0.5016666666666667
macro avg,0.49553596742663125,0.5016666666666666,0.49300245265588877,600.0
weighted avg,0.4955359674266313,0.5016666666666667,0.4930024526558887,600.0
